SRR13825328	SRR6324886	SRR9118109
16S_2346ddf8dbb8	113	30	2220
23S_1109a91bd621	9	0	537
16S_1543a5d17c66	757	0	208
23S_180154c4e913	67	0	207
23S_2336f657bcd0	244	414	535
16S_1737842efa60	191260	0	862
23S_2617113a44d2	21	0	699
23S_18091be434fd	3	0	0
23S_196056151d4f	1	1589	236318
23S_2044d23d7805	1628	0	1
16S_1789a75f0d05	792	0	40
23S_1149a5209647	9	1	0
23S_264085718201	3	0	2
16S_15381ae3efb6	52534	4	173
23S_2237739bc20b	20	0	12
23S_23588ace58b2	8	0	23
23S_1840226e69cb	4138	0	1336
23S_12365355a66e	30	13	841
16S_2966bf5bbfed	264	437	84
23S_153263144871	1858	3	126
16S_15902d7d9c57	1264	141	342
23S_21411371c4a1	15	0	184
23S_1671f56aff68	10	1	9
23S_2240e0a5adde	1145	0	2380
16S_29146a4a3c45	8	2	0
23S_26749fcd512c	2	0	0
16S_1729090cfec9	3322	0	388
23S_1686c26b636d	7	7	306
16S_1999085f9b4d	3	0	0
23S_10931be7f2e4	17762	2458	141517
23S_13871c6ee1ce	32836	880	66994
23S_253071722b86	16	4	1302
23S_23746d3690f5	2	0	2
23S_1902950b0397	410	0	7
23S_29435415d474	194656	0	81
23S_1357323dfec3	31	0	0
23S_26310353974e	9628	0	26393
16S_2442492ce3d9	6	0	0
23S_2841a77e7173	3	0	986
16S_23225892f196	4	0	0
23S_298507c58512	962	2122	171869
23S_2072fc2f28ed	5837	8	2939
23S_2911a27159ae	615	0	63
16S_1761ad7be63e	1	0	0
23S_2070fffbe773	1355	560	1111
16S_15837bc07374	15617	83	1353
16S_12458d99ef6e	19	0	15
23S_10423fd00f1b	31	0	10
23S_1610dd46857b	1	0	4
23S_24879327e69a	220	7	889
23S_2293828374d8	1	0	70
16S_21858b2c7f7b	20	0	12
23S_1096c902755e	40	18	44
23S_1455592ef1b3	217	0	154
23S_2465e90f289c	53	0	0
23S_18755d4383ef	1360	133	9747
16S_14236e8d8c4a	7	0	412
23S_244216981d74	1563	22	584
23S_108939e0fd37	188	2	3
23S_2500415eb039	4609	0	11
16S_2802e6f72bd8	26	0	935
23S_10711b802e6c	20	0	250
16S_1017e3720d8e	17	5	1579
16S_1322371b03d8	9	0	5
16S_1415a0f74415	296	0	41
16S_2987071ef5aa	726	7	4
23S_18936766b6d3	210	28	271
16S_1833f79c247e	296	0	762
23S_22538d5c0c45	8026	0	2221
23S_25197f174270	155	3	534
23S_2354469fcedd	10690	0	1789
16S_2617e4b72241	1	0	0
23S_1621cb561efa	127	16	1
23S_1219b3d68937	108	0	0
23S_226362a61fe3	9	0	1
23S_118223b955e2	357	0	3
16S_29408718eabf	1	0	0
23S_1848de5c5876	33	1935	161953
16S_202238014f49	23	0	75
23S_192477af5086	24359	0	1503
16S_1348ae409253	1	0	30
23S_1264f13b8b4b	17	1856	135668
23S_2968b84779ec	2690	0	47
16S_199263ec19f6	20	0	12
16S_13333362afbd	182	13	1
23S_248249b355a1	4938	935	133490
16S_211798464cac	71	0	0
16S_2621445492f8	17	0	1
23S_2082c24b2012	1239	168	29064
23S_205485395f4e	268	2	111702
23S_2682c5af79ca	25450	0	7979
16S_25241bb8c577	32	0	0
23S_27080c889284	98	0	37
23S_1906e2a95624	58	0	37
23S_153557dae1f7	6437	2	6481
16S_20186ffb0358	4942	16	890
23S_123540464f25	1	2	675
23S_17436fc16508	30	1942	161945
16S_2786ababffe8	192085	0	827
23S_2975e1485aa3	4	0	0
16S_17322130e290	12197	1363	109001
23S_2357718731e1	53	0	45
23S_2530bbab4d70	1	0	643
23S_24866c9a9b88	107	15	0
16S_183052ad4923	1499	6	532
23S_2927cec3b0c2	20	0	131
16S_1957cdf2e888	5645	0	0
16S_1636d70e07f5	438	1962	158577
16S_16863d3c352e	88813	0	13
16S_1966a06cc9cf	120	0	129
23S_1950e6c121d4	7389	4	4373
16S_1692418acd4e	29552	0	2
23S_29155e7edb29	195	0	680
23S_278308cbbd9d	1538	0	27
23S_1886274f862a	1	0	1
23S_1880f54efa09	1236	0	3
23S_127433d2b2e5	26	0	0
23S_148591dfaf41	63	0	0
23S_1209034b3d58	34160	0	4002
23S_1149a2e935af	209	0	3
16S_27962fc2d945	6	0	1580
23S_2260334703d9	2	0	19
23S_26432fffcc11	113565	199	29245
16S_2305433f10d3	70	0	1608
23S_27059cc7958c	1	0	11
23S_20059d03849c	8660	0	7204
23S_1076bdac978a	4	20	272
23S_27420e7ff9a2	715	0	1906
23S_2457bf303bfd	1	0	0
23S_2198be5aef14	42	0	1146
23S_10212229fd30	20467	0	1570
23S_1225177b04ae	570	2	935
23S_1795827eb6ea	8	6	5
23S_10512bc02fc2	266	13	907
23S_21442bf6b4f9	1361	9	1636
16S_2185dd567db9	146	3822	349290
23S_20017a4c9f05	267	0	2115
23S_2975f87c03ac	2	0	1
16S_14471073b306	14912	41	1263
23S_182336ae507f	323	267	4
23S_13275c514edf	122819	0	6
16S_179942d867e7	26	0	17
16S_16736799da02	61	0	120
16S_156109601052	3	0	5
23S_1230641f420b	175	2	766
23S_121739add943	15	0	0
23S_2172176d3ec3	241	0	25
16S_2837787338ab	10	0	1319
16S_23779a904050	172163	65	2253
23S_1164b21b68e9	230	0	16
16S_1055e9f9e7eb	13087	0	49
16S_2620286d5e13	1	0	0
23S_149317513f3b	22	1	0
23S_2092696a45e9	71	0	2130
16S_12026fe16ed9	8733	57	155
16S_13898a8e238f	424843	0	3959
23S_2519844d9a77	2	0	78
23S_2584fb863792	63	0	20
23S_1114a4cff8db	1	0	0
23S_2868e046ed42	1	0	1403
16S_1009d532288a	417088	32	4578
23S_270261bbac6d	74	0	0
23S_17455b8a7a81	2063	0	3679
23S_2377b3b1f7be	1648	8	6057
16S_1668ad0a5e47	1	0	786
23S_1175194a29d2	9	5	786
16S_2798ca4cd49d	1805	2	233
16S_1205a3fa4243	6153	7	165
23S_1211933bf2d5	570	2	935
23S_1053a3b48a1d	2615	41	96
23S_1172e5d3b80e	57429	29	1570
23S_2004b913e088	5	11	0
23S_1794c97c3822	53	0	0
23S_2852534d6dbf	541	39	482
23S_2360d8b0f0e4	89	3	1236
16S_13935a65197d	1	0	72
16S_2255232c97cf	16280	0	10
23S_27385aa1a74a	33	4	1095
23S_170949d375b4	9	0	44
23S_2202640c44fe	109352	9	461
23S_21207918b7dc	9	1082	108377
23S_2464f284e5c4	1	0	4
16S_1737aa1c9ec2	79	5	252
5S_1992bfeba15e	3	0	0
16S_24789391167b	7394	2316	184776
23S_20871ac82cf1	1132	0	268
23S_14128f301ee2	23158	0	953
23S_2293774281b7	173725	5	521
16S_1808ed656fb7	486	12	0
23S_22071b9d9b75	48	0	71
23S_23638cd365d9	1575	34	414
23S_2081d477e71e	9	0	0
23S_26390cc1476a	1	0	1
16S_28045148c4ca	930	0	5239
16S_25387effc7ef	11068	1841	96385
23S_2034e8eac12b	13	2	12
16S_2815831a7bf9	48	0	3175
23S_1983ef229346	944	0	222
16S_1505a4bfc0b8	233034	1	3381
16S_1139293afa17	3	0	0
23S_2462a05b6799	3	0	0
16S_23443a54a029	27	0	0
16S_27143b32d747	2	0	9
23S_102617916adf	6	0	1
23S_12456cb140a2	423	1	279
23S_1836a7efc802	62	0	289
16S_15955b0c47ee	20	0	12
16S_228510d01656	14	3	285
23S_120699696d99	3733	2	1053
16S_2065fe121d06	10	0	0
23S_23384dd2ce93	663	1	196
23S_280318551a93	289	54	831
23S_2115ed6fa48d	271	0	1
23S_1186c9a5afb9	1717	0	1730
23S_195750ab5a8b	6	0	0
16S_1255b7db4e23	83	10	604
16S_28600b4ca20c	367983	9	1180
16S_1554d633324e	1	1	189
23S_225617444401	1730	0	982
23S_17974faa1161	88222	0	2063
16S_151535b1bcde	13	0	15
23S_262885c87d4b	1	0	1
23S_1620b826ecec	20	0	8890
23S_2459ff4cbaf9	260	0	686
23S_20554959ab5e	2	0	1
16S_2221f68840aa	940	0	292
16S_1102ff9696d7	28153	0	8
16S_297236779e50	263976	0	2
23S_2215865dbec7	879	20	1250
16S_210696cf7381	17761	1422	118277
16S_1151ff60eec5	3	0	10
23S_27163c5851b4	28	0	523
16S_1535d45a2873	33	704	65357
16S_2211fa78ef3d	278649	0	626
23S_175034d20b3b	1	0	0
23S_13707716c964	1	0	1
23S_24034113be6f	199	8	39
23S_23442699f2e6	5	608	0
23S_22053dd232b5	123877	2477	338565
16S_2858ba221623	13	0	15
23S_1940714e05ae	16	1	148
23S_1972efbcac7c	2821	0	2554
23S_1929daeda08f	3	0	0
16S_2779ac2f633a	29524	1847	131688
23S_24834756a899	105	2387	208576
23S_2764ba3426ce	5	0	0
23S_19316456644c	30	0	1083
16S_139038684573	6	0	1
23S_144650c822bb	1	0	0
23S_262880c9b0e6	2	0	0
16S_11531752300f	5752	19	20
23S_27069ea5c54a	221	0	61
23S_2085e6f784e5	3	0	34
23S_1399f9ca2555	257	5	3
23S_2599a09979c8	36	0	0
23S_2286f26151e3	844	1	1107
23S_1889960d6367	57	0	5335
23S_1971afc694d4	3459	0	6300
23S_1203f6ce5cd4	39876	0	601
23S_23484d3980b4	23	0	3499
23S_1025f206a8b7	8	0	1
16S_2394fc18d518	1	0	1
23S_179849a026dc	2364	16	3452
16S_100824d95c57	5	0	0
16S_160574837cb4	4	0	0
23S_1671f38ca950	17	0	0
23S_2513d89de661	1	9	1610
23S_1498df494b87	2591	110	12854
16S_284900ff5f94	51	17	10
16S_212622259193	6	2863	213961
23S_2056e6e57f48	207861	0	214
16S_1579248a68d1	39	4	450
23S_16062503cf0c	26	0	116
23S_21867ae11972	58752	9	337
16S_102887a88997	7212	671	45358
23S_293624297854	1415	0	629
23S_19713250d83c	1	4	2
23S_223662a83f53	69	0	30
23S_271812899031	3963	0	2128
16S_12040c6b887c	51	0	105
16S_119663aab0fd	74	0	6
23S_2118337b4809	5	0	213
16S_1796a2387e6d	19	0	0
16S_2320866ea256	17	0	4
23S_280428215284	38	0	6860
5S_174998c932c2	2	4	0
23S_2692106153c0	278	1081	127502
23S_105959d96db7	47	0	4134
23S_20554fa138a7	276	5	620
23S_1838dec39117	205164	37	6
23S_1175ba3cfbb2	355	5	1154
16S_19030af44ba6	17639	0	705
23S_14002c7c4896	55391	0	7
16S_2780f68f86da	8	0	0
23S_254229f858f6	6	0	712
23S_216967b1f39e	20	0	131
23S_1861ff7f90a0	103383	11	7
16S_2480a2df9486	52	0	0
16S_1760a44fb1bc	363693	20	4135
23S_1599a29feb1b	3	0	1
16S_22588bd2df15	8	0	151
23S_18144d89165f	16	2	0
16S_272690f360fd	28544	0	10
23S_1506746accfc	5	0	117
23S_18698b75e56d	24	0	2945
23S_21998c0e84c5	5008	152	6237
16S_1996b7faa9ba	444	2011	160658
23S_1470200f638e	285229	4342	573344
23S_2091a105ff69	18	0	11342
23S_239188d4bcc3	65	15	53
23S_20566ca32f72	1513	0	301
23S_2607bfa081b0	61346	1	912
23S_2791a6d446ef	107	15	0
23S_114155fa1da6	2	0	0
16S_1728192eb75c	452547	27	4546
23S_28261dbf3f54	2	0	1962
23S_10512824485c	51	0	2354
16S_16496491eaec	121	0	1147
16S_2510cb47a1fb	8	10	131
23S_15087bd2397e	3	0	0
23S_1474056240ae	1174	7	325
23S_2259c98b2d4f	3248	3026	316421
23S_21953cd90228	220	7	889
23S_2108bc8b2a5b	2	0	0
16S_25578a119fe5	41	0	299
16S_1762bc433736	2	1	22
23S_18904bb61d06	1271	0	4543
23S_1763b147ff4b	222	2421	260796
23S_16893d14d746	23	0	3499
23S_1291e91c1764	306	1	97
23S_1859ef57ebf4	14903	0	26
23S_10928579a01f	11	0	4
23S_1366d34e24d1	133	0	14
23S_28178d3fea6f	67	0	50
23S_2255f070913d	31	0	4052
23S_2051ae0ffe30	165085	6	3169
23S_2206ff9cb979	95	0	163
16S_2481392cf9f2	297	0	17
23S_2054100bbe74	5	2046	188284
23S_212131695e25	65	15	53
23S_22300e7a41f7	2	0	1835
23S_21137faa1244	241	0	1874
23S_2539fc0abeff	11	0	0
23S_1081628cdec3	211879	22	48
16S_2679400e8c25	14692	0	4
23S_17946b22f141	112	0	3
23S_2039f32972b0	3	0	27
23S_2908d02b88bb	66	22	575
23S_292049a98479	2	0	0
16S_168212d78937	1	0	6
23S_2978acef0932	2	0	212
23S_262295c89fde	34	0	58431
23S_2982f7c196bf	69	0	38
23S_1490469f3b5e	2844	0	40
23S_15004cff5589	24	0	12
16S_29976130bc99	723	23	820
16S_1134d56191f3	258	0	0
23S_17850f001320	18	0	23
23S_2150c7707747	30	0	530
23S_134745802928	174	2	3
23S_28290495e93a	1	0	0
23S_2085381b3e95	2	0	11
16S_17576ccba505	49	0	1032
16S_2328ac19fd9e	31	0	478
23S_210166b3492e	148	0	29
23S_16791051ec95	4	1	2
23S_262959c87063	1918	0	1617
23S_12360726e09e	3	0	75
23S_1292e2d21be6	314	330	13
16S_20071ce853c5	140	1	1
23S_2379b76cae58	90	222	3849
23S_1644ddbeae58	209975	1958	114938
16S_26745a8e529d	2008	36	1952
23S_1903514d2d5d	144	0	4567
23S_194576ea9956	218	0	1745
16S_2464fe835187	444	2011	160658
23S_20243921c29d	20	0	0
16S_2714d35c653a	14	2	211
23S_270495057054	209	0	28
23S_27913055c28d	651	29	10
23S_178178d43261	292	1	8
23S_203811b2d198	2	0	3270
23S_103587f26f8a	181	0	1752
23S_274578e19f20	1	0	0
16S_15699bde86f5	443	7	506
16S_2368ab128e79	203	3259	290357
23S_1510da9e7053	2	0	0
16S_18508ad6bfc5	6	0	165
23S_2020b94b5009	2	3	0
23S_2293ce358647	2	0	622
23S_2426fd71c255	68973	0	9200
23S_225757a402b8	20	0	85
23S_20952e3f6b77	1	0	1
23S_142913aef5c6	1	0	1414
23S_1400321f7908	9957	0	6113
23S_13301181b53c	13	0	106
23S_1476608ced28	29770	4	5066
16S_23571fb14658	7	4	437
16S_1356f79565fb	213845	4	702
16S_218868f7a3eb	3	0	3440
23S_1825f74590cf	15	568	74736
23S_2194a2a579e2	21	0	761
16S_1017b1b97d58	6	0	743
23S_238965147a3f	230	8	1285
23S_2807b390ec2c	669	3639	467424
23S_14557c43b920	15	0	0
23S_1880250138f4	2	0	1402
16S_25174649fe40	11068	1841	96385
23S_105161629d0b	22	0	82
16S_2744c2ceef7f	30	0	612
23S_16878752f015	2213	8	12805
16S_24507ebfc253	37	101	11
16S_2109bb2d67f6	2416	2085	185318
16S_12201d3d9374	16	1756	165167
23S_19703359a71d	84875	0	579
16S_15963e8a95fb	37913	0	255
23S_2154c630ba79	218	0	82
16S_1886a4bd8d94	54389	54	298
23S_2349c1bfc257	6	0	0
16S_2499e5daa70e	1	0	3
16S_20733658ae76	8	0	0
23S_109834cdf358	1123	21	113091
16S_114730dca240	3	1	2
16S_18944b479d67	598457	3107	86963
16S_14234517cfcd	8	0	8
23S_205476df7a4e	24	0	12
23S_1393e7f0dbbe	1	0	385
16S_15073d876d3f	2	2	310
16S_1521fd2b7579	6335	570	45230
23S_2325e129b4be	1	14	0
23S_21544c822d17	300	0	0
23S_295784dee511	225	1493	173872
16S_2226e668d70b	641	171	135
23S_133331453c8a	673	3	1002
23S_2232878599cf	195	0	680
23S_19637f2ab9d0	1712	0	4625
23S_115697a7d0b2	618	0	10799
23S_1945007d8446	1	4	1761
23S_103848395b77	37	0	4506
16S_1957b53850e1	3	0	135
16S_18994e3da6d3	227	1	353
23S_16555d724265	16	297	1
23S_12247ded275e	13	0	106
16S_1764e1fc90a3	19	0	14
23S_1400f6a29525	2764	197	1329
23S_19469e1d014c	104	0	136
23S_2982f2f13038	1271	0	4543
23S_12019e65557f	201	0	28
23S_258954a12186	18221	10	3903
23S_15129dd415a6	29	0	5
23S_1694865e00c5	2719	446	1236
23S_27832d21c6ab	162	2	155
23S_17840e81c5b8	68	0	49
16S_193846d6a628	10003	3926	375707
23S_241235cc597a	91	0	0
23S_11125eed5e3a	49	0	1050
16S_2170f7d6bd77	8	0	0
23S_1978c43de6da	13	5	4
16S_2506148c0787	6	4	404
16S_1734834ca1ad	36747	0	1179
23S_171782e965ce	1	0	5
23S_23856547d20e	74	8	375
23S_2684e507c198	2	0	2
23S_18829dfb22c9	2522	0	13
23S_277214bcd26b	44	0	81
16S_2607f40d475f	121	0	1147
23S_1192a6167631	92789	653	88099
23S_2218811ae7a8	1	3	212
16S_27234e6da288	1	0	1
23S_28321ab4bc87	162	0	33
23S_1512952ea79b	5	0	0
23S_1881220f0260	341	1	1763
23S_29204749a7e5	57	0	3
23S_16977dd5a889	171	4	25
16S_281097087fa1	95	0	1845
23S_26268e4becc1	14	0	703
16S_23617e98ca95	8	1155	103508
16S_214883246c60	1	0	1
23S_24174b6ef8f5	1	0	23
23S_20160683599a	34	16	6
23S_21186f419e43	3531	0	189
23S_2174083c47bb	1048	0	18
23S_1017f9cdb550	112	5	1544
23S_1589ffbc98c5	8	0	1
16S_297527f58d70	2	10	0
23S_18929d68a461	1	0	0
23S_27828460fa22	1	0	0
23S_1572e31ccb54	75	11	0
23S_15077fe97639	13	0	123
23S_2783769e39d9	273	7	34
23S_1372c137fecc	17	0	5676
23S_296595bee78f	68	2	32
23S_166681461eac	748	0	15
16S_16431f28c208	19618	47	10379
16S_2788a638f64b	14	3	285
23S_29552ca34abd	1	0	0
16S_12782557968b	441	0	12
23S_2320999a31c7	1	0	1456
23S_1941e11d6eb4	1	0	228
23S_22041508020f	4680	0	1046
16S_215643870228	23	0	119
23S_29797d3ad0a4	86	21	2803
23S_1183e83ef332	32166	0	48
16S_1804d5456f64	58	1145	78880
16S_215390f8d669	49178	5	1147
16S_2028eb33ecfb	161	0	7
23S_2493c8b18f71	1231	2	149359
16S_190835b211aa	12	0	1
23S_2487b4bba83c	59021	33	1832
23S_16793af01e93	1132	0	268
23S_1005c89ea49b	34160	0	4002
23S_1551e7f6a5bd	122	0	2
16S_10899f9aebf0	5	2	0
16S_1875e305d4cb	19769	197	76
23S_1555695df636	153997	0	2
23S_1164dd166dcb	3733	2	1053
23S_15963c6a5c3d	253	740	2
23S_12179d37e4fc	299051	1429	11407
16S_198670ec1e02	274	43	20
23S_24332d057a85	47328	0	68
23S_2063481d985b	4633	0	2497
23S_2898ebf0712f	64826	82	5010
23S_2713734d438f	29	0	2
23S_21162ae341b7	54	0	0
5S_13828f141d13	2	0	48
23S_12290ab8b4ab	62	5	0
23S_19002ae23d63	341	0	0
23S_2925aa5c4ef3	7	0	491
23S_2451435d53db	341	0	2319
23S_1032b5a67360	229	0	147
23S_1035c94ca35e	79046	11	1104
16S_25133436f02a	86	13	0
16S_2611e35736d6	9	0	5
16S_2073478cdea3	2	0	0
23S_16535892e68f	10	0	2
23S_1906d8109953	76892	4	7742
16S_22154c085aab	301492	37	416
23S_15997528eea7	5	0	17
16S_2294176389b7	35	0	965
23S_2217360ba875	24313	0	1695
16S_1443e3fa40d8	1	0	1
23S_28034b913539	281	23	885
23S_2041b76b8d4c	204	0	1118
16S_2171b6188419	20	1791	165525
16S_17637203d3f5	22	0	3
16S_220256f88779	4	0	12
16S_2176f1b43265	3303	1611	136759
23S_16024dcf1886	5	0	653
23S_1009f2e286cd	14	17	48
16S_25528df87d27	1271	20	689
23S_2253ecc3b148	15	0	0
23S_165913d4e331	2	0	1
23S_2946f90572c4	731	5	266
23S_2117ca001ee2	21366	16	633
16S_2293a4afca5c	159	0	24
23S_15507e2752a8	114102	27	243
23S_1545624ada8c	20467	0	1570
23S_165685817806	4982	4110	479481
23S_238843d308ce	7	0	18
23S_12379681bd0b	94	0	342
23S_2929cdb6930c	1	0	643
23S_18337b688ea6	3	0	3417
16S_1299b2af939f	1534	966	88765
16S_25295f4cb5d1	7	2489	368605
23S_23009b894631	3040	11	234
16S_26343d8d99f7	1572	0	176
23S_1208651c4a0f	277	0	1
23S_1753259d20d8	219	2	0
16S_2686c15ec0b5	30	2	0
23S_12592fd49666	15	0	15571
23S_1542e0adfdec	24	0	1755
23S_26908cad8030	4	0	0
16S_2234d17e8ee4	5087	0	8
23S_262492609409	80928	73	1929
16S_269323d991a2	25	6	28
16S_2028bb9d5cb2	2	0	0
23S_29907268f012	9	10	479
23S_23151f609ba3	5559	0	741
23S_14135cabb978	1913	0	4293
23S_1383f84111e3	259	0	1630
23S_17129f7ff014	59	0	0
23S_1399cf51bcf5	1207	1	114062
16S_15049603e966	146	0	4
16S_1748fc9969a2	160	15	0
23S_1597d9e40a9c	223	0	1758
23S_2846f8e4e67a	491	30	290
23S_1210fc5ec2e4	21	0	0
23S_162200d429d1	6437	2	6481
16S_2332b8000f28	2	0	1
16S_2554b00d00f8	4	0	0
23S_1815a478e847	1	0	0
23S_1799d25dad75	3	0	0
23S_14379ffe59c8	185	668	14
23S_28161d1d409f	126	0	2
23S_274046a79713	1	0	0
23S_21215484999b	2	0	0
23S_16684a4f5bd1	2	0	0
16S_1352dbf3ea1e	65	17	13
16S_2201c0a26120	12	0	1
23S_29862dd8a7e7	988	11	3247
23S_22533eedd2ff	23	0	0
23S_2579de0e1a70	40	0	2
23S_22731983a7af	28266	0	7266
16S_17792d987481	14692	0	4
16S_25599b1ac584	404663	6	4214
23S_201899071074	8660	0	7204
16S_1147ae0d2dff	1	0	0
5S_164584d0806f	21	0	18
23S_14392e62febe	1	9	1610
23S_1548a582d5db	2	0	0
23S_20363059ce7d	1	0	5
23S_2129aaabb963	36	0	25222
23S_160517c71bed	80669	5	3546
23S_290846b77c5b	1	1	15
23S_16263c09d205	49	0	0
16S_1396f2133f9f	1792	84	471
23S_2155889cb425	462	30	191
16S_29364fc05cdb	577799	3374	236007
23S_2121375fe3fd	14	17	43
23S_1979fbeb4707	59292	4	379
23S_2562c9d258cc	366	553	31690
16S_2440b8a78425	37	1	379
23S_264366f6d208	72	2	0
16S_125912a06c49	7	0	9
16S_238638c996cd	74	0	6
23S_2155702685bb	5	0	15
23S_2688bb032354	354	2	484
23S_283338dcf5e8	344	17	3190
16S_15391502ad34	142	1244	117915
23S_14598aee9c83	1225	8	777
16S_26026d8b4232	731	0	0
16S_1212f8c9cf99	580057	2995	354948
23S_27356457af70	3	0	9
23S_243789131aef	7	0	0
16S_1149a2d5ba8f	320699	2713	85832
23S_2285166dab41	410	0	997
23S_2157f5cf2e8f	480	0	996
16S_18245ac4c2f5	14	0	70
23S_2472dc28c184	1	0	5576
23S_26827b33dc05	28	920	36091
23S_2648bc56c730	162	0	1087
16S_22917d3d596a	139	4	0
23S_18318129adc6	1563	22	584
23S_2589f83ef7c7	76	0	2
23S_26990caa9d05	4492	12	1974
16S_1784f14f90cd	50	0	169
23S_156309f5a114	32	0	311
23S_1452954aab31	687	12	228
16S_1195f74a9694	378	1	185
16S_1023f7cce657	96	88	75
23S_2567dfa49ce8	1234	0	3928
23S_113183fdd844	2245	5	989
23S_16970f2c12b7	177	0	125
23S_22983908a51f	59290	9	268
23S_2935a20b7b6a	156744	37	362
23S_2722759b18bf	1	0	1
16S_22996fd5bffc	406	407	5
23S_100965158958	23	0	233
16S_2159397d81b4	211	1693	146536
23S_27159f92d70c	44900	0	7584
23S_2198e91fc82a	12	0	0
16S_2154b5f830a7	2	0	10
16S_231516341140	13	0	4
16S_139271b288ae	17	0	0
23S_1598067c8a65	4	0	209
23S_29270966662f	182098	2837	353831
23S_18289407beb3	2	0	1036
23S_25760bad0ac5	663	1	196
23S_29421cb7e2e0	9	1082	108088
23S_27845858db42	1	0	1
23S_1568acd471b3	5875	0	1730
16S_2410e21158c6	31060	0	1
16S_1090ad4b27c7	65	0	120
16S_1390ebde63d8	3	0	0
16S_23040b693743	2	3	772
16S_1489aca40f67	1	0	1
23S_1962b4315d1c	1	0	1
23S_1140d2b4e75a	241	0	25
16S_1480ba5e3615	100	45	170
23S_2366b43408e5	32	0	1
16S_18460c975ba4	5	5	1
23S_1495fb30017b	21	6	807
23S_24830f654e93	1	0	1148
23S_25665bc64950	2077	1	44
23S_109883e5fb98	39	0	3
23S_18586aacf341	1	0	32
23S_2742a78ab790	20	0	12
23S_222440b8167a	28	0	1705
5S_2776ac3ef501	4	0	16
23S_1556318e9987	8302	0	21347
23S_25393d3f3ca9	64	116	31
23S_26250ccc864a	67295	65	12722
23S_223692c68e22	32166	0	48
16S_11892e5415b6	1	0	333
23S_1355377cbed1	1	0	23
23S_298867f1c4c8	70907	4385	572348
16S_1736bf8aa12e	13	0	1439
23S_1186b6da3fa7	29	0	14372
23S_223711192757	52	0	111
23S_2345faf9abd8	3032	927	129529
23S_2123d7418383	53	0	0
23S_2062f5358c48	10	0	528
23S_2866b4e0be52	3	0	3143
23S_1610a456dc4c	21	0	12
5S_2001c117d7b5	2	0	0
23S_2512810bc100	1	0	12
23S_13820cc9fc50	245566	17	1493
23S_1035ac7b2667	59	0	21
16S_17585d3d5f26	318	13	23
23S_2183e2339880	121	0	0
16S_147018be6b6e	79	59	808
16S_1880584cf6db	27	0	0
23S_2827f1f0e455	211	0	64222
16S_2436486318bb	28	0	0
16S_10240a4f5b54	2	0	0
16S_280892f1ef36	224	0	1758
23S_1626bba6e580	2	0	1
16S_1916f10b8232	3492	51	1225
16S_175475b2b2e3	1	0	439
23S_221832986204	27	8	746
23S_10539eefe212	137	2478	295016
16S_1617fcfcba2e	6	0	0
23S_109600cb8e6c	4	0	0
23S_238258773752	17	0	81
23S_29477f2dd7bc	12831	2	5
23S_167403bb9123	17	1799	332970
23S_202685110f47	34	0	1706
16S_2779201fcf0b	11	0	16
16S_263962a7ecb3	283017	0	21
16S_19326fc5ddc7	26181	71	850
16S_27147af9d875	38	0	4110
23S_1181b936c0d7	40	0	7920
23S_18727e9deabf	1	0	4
23S_24570fbb1162	20	0	10
16S_28369329cc1b	1656	0	0
23S_289493eef91a	19	0	0
23S_1964ea0bf8b0	259	1141	130595
23S_1128d691ed40	73391	0	49129
23S_1562d5ccf58a	20	0	216
23S_10363c7ec855	2671	2	666
23S_221695fdf7fa	184	0	160
16S_2752635ddc74	3	0	347
23S_17884f1b21e5	269065	3054	448669
23S_2406ce231376	1577	4	161
16S_20268f3e6c02	16	0	1
16S_2935b6fc688b	11861	0	2002
23S_2875497ebe99	6	0	119
23S_255126d2822b	225587	5	65020
23S_15968b0b7f16	49905	358	2533
16S_2112af40da54	38	1867	148422
23S_1092312c251a	620	1	185
16S_24616586ac7c	410	0	859
16S_12879433662e	4398	13	321
23S_262263156d46	43	0	6761
16S_23763ac6b9e9	4117	0	377
23S_1737b7e3a306	1	0	0
16S_1440392ca1ca	30930	99	13
23S_1682b1f699a7	42602	3404	506258
23S_1914ddf54e57	3	0	3
23S_1443a935f746	488	8	500
23S_18319b94ab2d	32	0	66
23S_122912fb6c9c	241	0	25
16S_10595b186c02	2	0	0
23S_106617ee5d54	11	0	0
23S_1866d06a5806	39	0	25
23S_19524f59710f	36326	0	43
23S_1861b2487d65	6	0	0
23S_1700457f1f1e	16	0	2412
16S_222149fd62af	1	0	0
23S_290980e048f0	40	0	2
23S_20436746b91c	16	1893	134384
23S_272347fb2bcf	49	0	11
16S_2389d8cc232a	20	1791	165525
23S_1168ab87b69b	673	12	225
23S_2310442aa278	8425	6	912
5S_179252221ede	68	0	116
23S_256428af485d	1	0	0
23S_22510e6c26a0	88	0	6
23S_184104ae45c2	7	0	210
16S_21812fb7140f	43	0	2042
23S_13117730c362	3	0	751
23S_23840eb2314d	165	2	8
23S_1538d132abda	18	0	2
23S_240525b2671f	91	0	0
16S_17159fe09130	15	0	1640
23S_2699829fe6d9	1125	0	127
23S_1596cf5b1f6f	17	0	6855
23S_28397ca7e3a6	248	0	939
23S_285873c1cbaa	1772	22	2975
16S_20456e1805fb	12515	0	1863
23S_27388438df70	1	1	0
23S_16558e1b27ef	25	0	1721
23S_27065e603755	27	0	1
