SRR13825328	SRR6324886	SRR9118109
23S_14236b54ecc8	28	11	76
23S_2644667200c3	2154	0	771
16S_1718b62051f7	5	2	0
23S_16969fe90e3b	14	0	0
23S_126974b2be0f	397	132	424
23S_2910ac44f008	123412	1686	155517
23S_11269c525efd	4031	2	1620
23S_18957628f057	7299	27	2926
23S_15224a7f6b0e	74	6	4
23S_15129bb5922f	151	0	1613
5S_2851a4cf01ca	2	0	2
23S_2228b57dced5	62	29	6
23S_1170d54ffd4c	3976	0	1210
23S_267192daa73f	388	1573	305218
23S_1808f818b61e	423	0	313
16S_280873a8cd25	116188	15	291
16S_29951f8d92ed	81	0	42
23S_1721f6faf89e	90	29	83
23S_24890f35a5bb	42	0	4
23S_10992a43d357	2	0	0
16S_151974762bf7	3	0	1084
23S_2760c393d02e	64826	82	5010
23S_1417eb71f5b4	24	0	114
23S_1749aa1fcdea	78	0	1201
23S_179944cddaa9	3	0	247
23S_1914430a4cd7	3	13	17
23S_25711a5672d2	2065	0	38
23S_1920152e2cc8	8	9	2
16S_2899b58ebfd1	53	5	19
16S_2617e24a229c	1	0	0
16S_261056b46f42	7530	1929	114548
16S_20374fa9f026	30	0	328
23S_14693ca2f86f	265	685	87242
16S_2371887d6a49	41	0	2115
23S_21895ab9df66	80669	5	3546
16S_2873941a83b4	12515	0	1863
23S_130548f0492e	210	28	271
23S_2709872cd9b4	139212	0	1
16S_11492ea7b88c	3	0	135
23S_2527a4532474	76	0	30226
23S_14507b4287b7	36	0	0
16S_1732ccbbd321	4117	0	377
16S_2057dc15c1e5	1	0	199
23S_12895ffe02bb	1	0	0
23S_2506c68c2f2a	4	0	2392
23S_1681b58eef96	175	3	18
23S_23698e4e64a2	10	0	5
23S_106248a407fc	12	0	67
23S_1581bcdfeb36	49	0	941
16S_273013d3fafe	179	2047	126047
23S_122265676205	2	0	4
16S_2694f21e75d5	3	0	0
23S_102761714d0a	117	0	23
23S_120910b94867	18	0	11
23S_24514b3da50a	10	0	11
23S_1663d55c0b76	8	0	0
23S_1723a14cd179	1661	0	1740
5S_258021bbd1d3	4	0	34
16S_237764e26f65	224	0	1758
23S_20609035c990	2	16	18
23S_2636a2738918	126	0	11
23S_22688969655b	196	4	1
23S_1418717baaa8	43	0	686
23S_1935ccd5f8b1	53	0	44
23S_2208b19c7aeb	141	2	778
23S_2441b1df8f99	101	0	0
16S_2633f43249b0	14780	0	4
23S_2327d1b400ec	5	0	202
23S_2829ffad62ec	457	2	13323
23S_236089e487d9	11	0	99
23S_122755ebc96b	3286	0	191
23S_2133d22f8bd7	27	0	1
23S_2457140896b5	21	0	2238
16S_2850f01feaf2	104	12	177
23S_1288341b152a	2	2	658
16S_1855d7c280d8	7	4	437
16S_12539de5cca3	20	0	12
23S_15207ded9a25	32	0	24
16S_1503eaeb8cb4	68	1418	109879
23S_20818a2f245d	115966	1	153
23S_2363211a96a0	1279	0	273
5S_2415da00bceb	4	0	0
16S_1524d91aec18	883179	4560	159010
23S_2382da1f0bce	15	7	19
16S_15511032aae0	133	7	7
23S_18906642d8f4	183920	1713	138710
16S_15561ae1c487	52	0	1142
16S_268413b16170	1289768	2925	156694
23S_235990f9cb12	1	0	0
23S_192993d6eb99	14	0	6
23S_2401a2df56a2	19	0	182
23S_15801b5293b9	19	0	21
23S_1876ad8a8603	405	0	8632
23S_1528d326e71d	187	0	10
23S_200415eacf34	2	0	7
23S_147207964fea	1	0	0
23S_1790530721ca	9	0	58
23S_2973ac4f00c2	86	0	42035
23S_16912cf711a5	844	1	1107
23S_18094c249c4b	49	0	9090
16S_190973679795	2	0	0
23S_1205377701bb	17	0	2190
16S_260530beea90	1133	0	1219
16S_10590183d735	56	0	5
16S_1153e7270190	179	2047	126047
23S_1565fc6835b6	81	1735	236792
5S_279138cfddbd	4	0	21
23S_1571804698c0	85	0	314
16S_28056296e608	256	2	1292
16S_29814a63e453	28544	0	10
16S_2016fbc3cbc6	1283	0	29
23S_2851092fc751	90	13	638
23S_1767fa2f92c3	2986	0	3958
16S_120016719fd3	162	0	279
16S_29710452a7d6	1	0	0
16S_1170ef436f9d	5	0	0
16S_259078275e7f	1	0	2
23S_23570aa14512	1423	0	3
16S_2758eced2965	149	2495	114271
16S_15850500563f	131	14	1
23S_26005290db4f	9	0	2
23S_1494ad52865c	2	0	1
16S_115153e2b9c9	34	0	0
23S_17260aecfcf4	2052	15	983
23S_1165e25008a9	16	0	1
23S_2875aca0ae9f	29	1564	243046
23S_185916fe0b4f	212	2026	278048
16S_1216479abbe1	45	0	321
16S_25439febb058	348	0	338
16S_2143347ebbc9	23	2049	126265
23S_102696196506	6	0	2
23S_1160b5e88799	52	0	0
16S_26818b78eecc	1	0	0
23S_2682add4136e	48	0	4114
16S_13717a37c02a	29158	0	1450
23S_1440f8dafee6	410	0	997
23S_1023e235dbde	4513	4	784
23S_26244a74d5d6	2821	0	2554
23S_2997a60159b9	85601	0	3440
16S_2653c60dc3df	28153	0	8
23S_1991e1370d26	2	0	1948
16S_28321b290655	6	0	701
23S_1033385f0219	28	1830	160502
16S_2395a0508004	396	5	61
23S_2815f6c5291f	31	18	39
16S_170018684ef6	8	0	256
16S_1515831fb9bc	4	10	964
16S_18002bab64da	365	9	165
16S_205911f45c06	40	0	1954
23S_144925b875c3	90037	4	11201
23S_113932677e5b	155	0	25875
23S_15593b3899c9	2	0	1
23S_18072d1f93ce	2	0	0
16S_16376f9cf694	30	0	0
23S_1456a9336c8f	2610	2938	207293
23S_2042acf76205	300	0	0
23S_247754b06d92	4	0	947
23S_27093b59053a	24795	0	127
23S_25855179a158	19	0	21
16S_1158f3a206f9	52	17	1568
23S_1003df9cf0fb	2077	1	44
23S_1107f227d1af	309	0	694
23S_118250d5e08f	27	7	0
23S_25066b124662	164	0	38
23S_22601e771d85	1005	0	27
23S_1130eacaf840	5587	0	65
23S_1134ba852f4b	3626	0	5968
16S_1740c14475bf	72	0	0
23S_136417d0dc89	164539	74	17845
23S_286166cd7407	15	0	635
23S_22765a74f06b	2	0	0
23S_24330bd08e06	2	0	1415
23S_215673b156ed	38	2	0
23S_1744a194053a	40922	88	52600
23S_1901b41c02a9	29	0	9381
23S_224367fbcc58	76493	58	20995
23S_2050bd0e7dab	3	0	314
23S_1802b2b57b71	28	920	36091
23S_258529aba894	72	0	6
16S_14922fc8ce45	911	389	405
23S_28853dfd32d5	249	743	95037
23S_10208cb92e84	49	0	0
16S_2038d6e70468	707	507	169
23S_117641de96a4	2170	0	12748
16S_1739598352de	706	35	0
16S_1141b58e1d8b	132236	0	576
16S_2642d3d45c31	1319	355	102
23S_2548b792240b	1	8	226
23S_130229c1779d	1048	0	18
23S_2184072c786f	41	0	0
23S_2672a4d8770d	11	0	0
23S_10900ddc4368	181	3	880
23S_22971a6682c0	2	0	0
23S_26299a3782df	23	0	0
23S_2861b156103c	6	0	7
23S_11717ca39a04	1641	0	321
16S_1952690713df	10	0	0
23S_16610bca9dd3	31	0	224
23S_16566a8dc37d	189794	0	4
16S_2964ef5410be	2487	31	1010
23S_291528f48195	51606	2897	226811
23S_1813bd78c6d1	133611	0	12
23S_2480d0c23eb4	195	0	4
23S_2031293e6427	276	0	1795
23S_2721b634fe52	865	11	104
23S_2374b73b9049	17335	0	17835
16S_13514e60a8b2	6	0	0
23S_1222f0340a54	13	0	0
23S_28283aed7e63	1072	0	258
23S_154980d9db83	4609	0	11
23S_162682a99f3d	88	0	29
23S_1130e0354e5a	6	0	11
23S_116566314265	161	10	2970
23S_1369f6b09f35	67	0	207
23S_1135565275af	169	8	1303
23S_299138f8db34	3555	73	13924
16S_2295d1add1e8	1	2	816
16S_11229ed38907	6	0	703
16S_1069545207aa	799	147	316
23S_1356c870b80a	244	414	535
23S_11362644f327	5748	27	2667
23S_128633611795	2	1	1
23S_1724aaaee3bb	2	0	2745
23S_2276f0f69211	4343	4	768
23S_23629db22329	3	0	182
23S_2284f0176ec4	34	8	330
16S_2753c17ea1cf	13	0	8
23S_25006eddee0c	44	3815	674104
23S_2483ec6ec15f	44067	12	498
23S_17314ee9c7bd	287	20	16795
23S_2132135932ca	1516	1	596
23S_1388ddf5c15c	549	0	17
23S_256238a7c6a9	33	0	1
23S_280994023673	155	0	1
23S_29177f30b414	847	9	1412
23S_160296cb035b	4	0	0
